slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
152,4560,1,0,549,0,0.0,0.8333333333333334,100.0,-1.0,0.1933870029354716,0,0
153,4590,1,0,551,0,0.0,0.8333333333333334,100.0,-1.0,0.19145313290611687,0,0
154,4620,1,0,557,0,0.0,0.8333333333333334,100.0,-1.0,0.1895386015770557,0,0
155,4650,1,0,560,0,0.0,0.8333333333333334,100.0,-1.0,0.18764321556128516,0,0
156,4680,1,0,564,0,0.0,0.8333333333333334,100.0,-1.0,0.1857667834056723,0,0
157,4710,1,0,568,0,0.0,0.8333333333333334,100.0,-1.0,0.18390911557161557,0,0
158,4740,1,0,568,0,0.0,0.8333333333333334,100.0,0.0,0.18207002441589942,0,0
159,4770,1,0,568,0,0.0,0.8333333333333334,100.0,0.0,0.18024932417174042,0,0
160,4800,1,0,569,0,0.0,0.8333333333333334,100.0,-1.0,0.178446830930023,0,0
161,4830,1,0,571,0,0.0,0.8333333333333334,100.0,-1.0,0.17666236262072277,0,0
162,4860,1,0,573,0,0.0,0.8333333333333334,100.0,-1.0,0.17489573899451555,0,0
163,4890,1,0,575,0,0.0,0.8333333333333334,100.0,-1.0,0.1731467816045704,0,0
164,4920,1,0,578,0,0.0,0.8333333333333334,100.0,-1.0,0.17141531378852468,0,0
165,4950,1,0,579,0,0.0,0.8333333333333334,100.0,-1.0,0.16970116065063942,0,0
166,4980,1,0,580,0,0.0,0.8333333333333334,100.0,-1.0,0.16800414904413302,0,0
167,5010,1,0,581,0,0.0,0.8333333333333334,100.0,-1.0,0.1663241075536917,0,0
168,5040,1,0,582,0,0.0,0.8333333333333334,100.0,-1.0,0.16466086647815478,0,0
169,5070,1,0,582,0,0.0,0.8333333333333334,100.0,0.0,0.16301425781337323,0,0
170,5100,1,0,582,0,0.0,0.8333333333333334,100.0,0.0,0.1613841152352395,0,0
171,5130,1,0,585,0,0.0,0.8333333333333334,100.0,-1.0,0.1597702740828871,0,0
172,5160,1,0,588,0,0.0,0.8333333333333334,100.0,-1.0,0.15817257134205823,0,0
173,5190,1,0,591,0,0.0,0.8333333333333334,100.0,-1.0,0.15659084562863765,0,0
174,5220,1,0,591,0,0.0,0.8333333333333334,100.0,0.0,0.15502493717235127,0,0
175,5250,1,0,594,0,0.0,0.8333333333333334,100.0,-1.0,0.15347468780062776,0,0
176,5280,1,0,601,0,0.0,0.8333333333333334,100.0,-1.0,0.15193994092262147,0,0
177,5310,1,0,606,0,0.0,0.8333333333333334,100.0,-1.0,0.15042054151339526,0,0
178,5340,1,0,610,0,0.0,0.8333333333333334,100.0,-1.0,0.1489163360982613,0,0
179,5370,1,0,612,0,0.0,0.8333333333333334,100.0,-1.0,0.14742717273727868,0,0
180,5400,1,0,612,0,0.0,0.8333333333333334,100.0,0.0,0.14595290100990588,0,0
181,5430,1,0,618,0,0.0,0.8333333333333334,100.0,-1.0,0.14449337199980683,0,0
182,5460,1,0,618,0,0.0,0.8333333333333334,100.0,0.0,0.14304843827980876,0,0
183,5490,1,0,621,0,0.0,0.8333333333333334,100.0,-1.0,0.14161795389701068,0,0
184,5520,1,0,621,0,0.0,0.8333333333333334,100.0,0.0,0.14020177435804057,0,0
185,5550,1,0,624,0,0.0,0.8333333333333334,100.0,-1.0,0.13879975661446017,0,0
186,5580,1,0,629,0,0.0,0.8333333333333334,100.0,-1.0,0.13741175904831557,0,0
187,5610,1,0,629,0,0.0,0.8333333333333334,100.0,0.0,0.1360376414578324,0,0
188,5640,1,0,631,0,0.0,0.8333333333333334,100.0,-1.0,0.13467726504325409,0,0
189,5670,1,0,634,0,0.0,0.8333333333333334,100.0,-1.0,0.13333049239282155,0,0
190,5700,1,0,635,0,0.0,0.8333333333333334,100.0,-1.0,0.13199718746889333,0,0
191,5730,1,0,635,0,0.0,0.8333333333333334,100.0,0.0,0.1306772155942044,0,0
192,5760,1,0,641,0,0.0,0.8333333333333334,100.0,-1.0,0.12937044343826234,0,0
193,5790,1,0,642,0,0.0,0.8333333333333334,100.0,-1.0,0.12807673900387972,0,0
194,5820,1,0,648,0,0.0,0.8333333333333334,100.0,-1.0,0.12679597161384093,0,0
195,5850,1,0,655,0,0.0,0.8333333333333334,100.0,-1.0,0.12552801189770252,0,0
196,5880,1,0,656,0,0.0,0.8333333333333334,100.0,-1.0,0.1242727317787255,0,0
197,5910,1,0,657,0,0.0,0.8333333333333334,100.0,-1.0,0.12303000446093824,0,0
198,5940,1,0,659,0,0.0,0.8333333333333334,100.0,-1.0,0.12179970441632886,0,0
199,5970,1,0,666,0,0.0,0.8333333333333334,100.0,-1.0,0.12058170737216556,0,0
200,6000,1,0,671,0,0.0,0.8333333333333334,100.0,-1.0,0.1193758902984439,0,0
201,6030,1,0,677,0,0.0,0.8333333333333334,100.0,-1.0,0.11818213139545947,0,0
202,6060,1,0,681,0,0.0,0.8333333333333334,100.0,-1.0,0.11700031008150487,0,0
203,6090,1,0,686,0,0.0,0.8333333333333334,100.0,-1.0,0.11583030698068982,0,0
204,6120,1,0,691,0,0.0,0.8333333333333334,100.0,-1.0,0.11467200391088292,0,0
205,6150,1,0,696,0,0.0,0.8333333333333334,100.0,-1.0,0.11352528387177409,0,0
206,6180,1,0,701,0,0.0,0.8333333333333334,100.0,-1.0,0.11239003103305635,0,0
207,6210,1,0,707,0,0.0,0.8333333333333334,100.0,-1.0,0.11126613072272579,0,0
208,6240,1,0,708,0,0.0,0.8333333333333334,100.0,-1.0,0.11015346941549853,0,0
209,6270,1,0,711,0,0.0,0.8333333333333334,100.0,-1.0,0.10905193472134354,0,0
210,6300,1,0,711,0,0.0,0.8333333333333334,100.0,0.0,0.1079614153741301,0,0
211,6330,1,0,712,0,0.0,0.8333333333333334,100.0,-1.0,0.1068818012203888,0,0
212,6360,1,0,716,0,0.0,0.8333333333333334,100.0,-1.0,0.10581298320818491,0,0
213,6390,1,0,723,0,0.0,0.8333333333333334,100.0,-1.0,0.10475485337610306,0,0
214,6420,1,0,724,0,0.0,0.8333333333333334,100.0,-1.0,0.10370730484234203,0,0
215,6450,1,0,730,0,0.0,0.8333333333333334,100.0,-1.0,0.10267023179391861,0,0
216,6480,1,0,736,0,0.0,0.8333333333333334,100.0,-1.0,0.10164352947597942,0,0
217,6510,1,0,736,0,0.0,0.8333333333333334,100.0,0.0,0.10062709418121962,0,0
218,6540,1,0,736,0,0.0,0.8333333333333334,100.0,0.0,0.09962082323940742,0,0
219,6570,1,0,738,0,0.0,0.8333333333333334,100.0,-1.0,0.09862461500701335,0,0
220,6600,1,0,745,0,0.0,0.8333333333333334,100.0,-1.0,0.09763836885694321,0,0
221,6630,1,0,745,0,0.0,0.8333333333333334,100.0,0.0,0.09666198516837378,0,0
222,6660,1,0,748,0,0.0,0.8333333333333334,100.0,-1.0,0.09569536531669004,0,0
223,6690,1,0,748,0,0.0,0.8333333333333334,100.0,0.0,0.09473841166352313,0,0
224,6720,1,0,750,0,0.0,0.8333333333333334,100.0,-1.0,0.0937910275468879,0,0
225,6750,1,0,751,0,0.0,0.8333333333333334,100.0,-1.0,0.09285311727141901,0,0
226,6780,1,0,753,0,0.0,0.8333333333333334,100.0,-1.0,0.09192458609870482,0,0
227,6810,1,0,757,0,0.0,0.8333333333333334,100.0,-1.0,0.09100534023771778,0,0
228,6840,1,0,764,0,0.0,0.8333333333333334,100.0,-1.0,0.0900952868353406,0,0
229,6870,1,0,764,0,0.0,0.8333333333333334,100.0,0.0,0.08919433396698719,0,0
230,6900,1,0,769,0,0.0,0.8333333333333334,100.0,-1.0,0.08830239062731732,0,0
231,6930,1,0,772,0,0.0,0.8333333333333334,100.0,-1.0,0.08741936672104414,0,0
232,6960,1,0,776,0,0.0,0.8333333333333334,100.0,-1.0,0.08654517305383369,0,0
